trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.75, 'e': 0.7659999999999998}",30,1,-92.27532330142054,"{0: 22, 1: 2, 2: 3, 3: 0, 4: 2}",1
118,False,"{'a': 0.75, 'e': 0.7639999999999998}",30,0,-25.52433278102273,"{0: 27, 1: 0, 2: 2, 3: 0, 4: 1}",0
119,False,"{'a': 0.75, 'e': 0.7619999999999998}",20,0,-148.1817883484897,"{0: 10, 1: 4, 2: 2, 3: 2, 4: 2}",0
120,False,"{'a': 0.75, 'e': 0.7599999999999998}",30,4,-77.48852122676527,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 1}",1
121,False,"{'a': 0.75, 'e': 0.7579999999999998}",20,0,-115.74005712558454,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
122,False,"{'a': 0.75, 'e': 0.7559999999999998}",20,0,-62.42661011378047,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
123,False,"{'a': 0.75, 'e': 0.7539999999999998}",25,5,-169.09343581974804,"{0: 12, 1: 0, 2: 3, 3: 2, 4: 3}",1
124,False,"{'a': 0.75, 'e': 0.7519999999999998}",25,0,-125.03986816488998,"{0: 14, 1: 1, 2: 8, 3: 1, 4: 1}",0
125,False,"{'a': 0.75, 'e': 0.7499999999999998}",20,2,-55.15150394750572,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
126,False,"{'a': 0.75, 'e': 0.7479999999999998}",20,0,-21.864641830635183,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
127,False,"{'a': 0.75, 'e': 0.7459999999999998}",20,0,-70.66216153442372,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
128,False,"{'a': 0.75, 'e': 0.7439999999999998}",25,0,-20.579144661487582,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
129,False,"{'a': 0.75, 'e': 0.7419999999999998}",20,12,-7.95557152411158,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
130,False,"{'a': 0.75, 'e': 0.7399999999999998}",20,0,-65.29566160684533,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
131,False,"{'a': 0.75, 'e': 0.7379999999999998}",20,0,-13.673486288268993,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
132,False,"{'a': 0.75, 'e': 0.7359999999999998}",25,0,-201.75946393873886,"{0: 16, 1: 0, 2: 4, 3: 1, 4: 4}",0
133,False,"{'a': 0.75, 'e': 0.7339999999999998}",20,0,-53.60054312106333,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
134,False,"{'a': 0.75, 'e': 0.7319999999999998}",25,13,-17.385026610350906,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.75, 'e': 0.7299999999999998}",25,6,-0.35517416111372135,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.75, 'e': 0.7279999999999998}",20,0,-75.13733731917164,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
137,False,"{'a': 0.75, 'e': 0.7259999999999998}",25,10,-69.90615293348557,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 1}",1
138,False,"{'a': 0.75, 'e': 0.7239999999999998}",20,1,-3.9352908017505714,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.75, 'e': 0.7219999999999998}",20,0,-84.0593480740109,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
140,False,"{'a': 0.75, 'e': 0.7199999999999998}",20,0,-81.96294292891768,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
141,False,"{'a': 0.75, 'e': 0.7179999999999997}",30,0,-69.32398709998505,"{0: 23, 1: 1, 2: 4, 3: 1, 4: 1}",0
142,False,"{'a': 0.75, 'e': 0.7159999999999997}",20,0,-151.84963160828383,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
143,False,"{'a': 0.75, 'e': 0.7139999999999997}",20,0,-62.67074920121844,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
144,False,"{'a': 0.75, 'e': 0.7119999999999997}",30,0,-114.66021010221536,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
145,False,"{'a': 0.75, 'e': 0.7099999999999997}",20,0,-71.5430466713317,"{0: 14, 1: 0, 2: 3, 3: 3, 4: 0}",0
146,False,"{'a': 0.75, 'e': 0.7079999999999997}",20,0,-59.37034207328188,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
147,False,"{'a': 0.75, 'e': 0.7059999999999997}",25,0,-124.0611230340891,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
148,False,"{'a': 0.75, 'e': 0.7039999999999997}",20,5,-31.04086764899596,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
149,False,"{'a': 0.75, 'e': 0.7019999999999997}",20,0,-153.47154643874157,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
150,False,"{'a': 0.75, 'e': 0.6999999999999997}",25,0,-118.83243558059831,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
